hobbies_pastimes,sports_activities,cultural_artistic,intellectual_academic,user_id
DIY projects,Volleyball,Sculpture gardens,Ethical debates,1399
Antiques collecting,Martial arts,Symphony orchestra performances,Computer programming hackathons,1400
Calligraphy,Martial arts,World music concerts,Climate change discussions,1401
Woodworking,Ultimate Frisbee,Impressionist art appreciation,Medical ethics debates,1402
Yoga,Snowboarding,Pottery workshops,Bioinformatics symposiums,1403
Writing,Running,Indigenous art experiences,Physics lectures,1404
Calligraphy,Rugby,World music concerts,History lectures,1405
Hiking,Judo,Film analysis clubs,Climate change discussions,1406
Writing,Archery,Ballet,Scientific research,1407
Playing chess,Gymnastics,Jazz clubs,Cultural anthropology lectures,1408
Photography,Triathlons,Pottery workshops,Physics lectures,1409
Photography,Horseback riding,Art galleries,Scientific research,1410
Camping,Fencing,Renaissance art appreciation,Chemistry experiments,1411
Astronomy,Basketball,Film analysis clubs,Academic publishing,1412
Cycling,Golf,Renaissance art appreciation,Climate change discussions,1413
Knitting,Sailing,Ballet,Environmental sustainability workshops,1414
Stamp collecting,Swimming,Jazz clubs,Astronomy clubs,1415
Astronomy,Skateboarding,Impressionist art appreciation,Data analysis workshops,1416
Antiques collecting,Karate,Calligraphy classes,Linguistic analysis,1417
Hiking,Snowboarding,Sculpture gardens,Bioinformatics symposiums,1418
Scrapbooking,Judo,Renaissance art appreciation,Sociology conferences,1419
Camping,Running,Film festivals,Political science forums,1420
Writing,Judo,Calligraphy classes,Astronomy clubs,1421
Cooking,Basketball,Opera appreciation,Environmental sustainability workshops,1422
Stamp collecting,Ultimate Frisbee,Pottery workshops,Linguistics workshops,1423
Sewing,Triathlons,Poetry slams,History lectures,1424
Baking,Judo,Impressionist art appreciation,Environmental sustainability workshops,1425
Hiking,Tennis,Theater workshops,Legal seminars,1426
Coin collecting,Archery,Art galleries,History lectures,1427
Painting,Skateboarding,Opera,Data analysis workshops,1428
DIY projects,Tennis,Music concerts,Cultural anthropology lectures,1429
Coin collecting,Mountain biking,World music concerts,Linguistic analysis,1430
Hiking,Gymnastics,Street art tours,Genetics research,1431
Scuba diving,Tennis,Stand-up comedy shows,Climate change discussions,1432
Pottery,Skiing,Museums,Computer programming hackathons,1433
Astronomy,Surfing,Film analysis clubs,Archaeological digs,1434
Writing,Volleyball,Film analysis clubs,Psychology seminars,1435
Gardening,Running,Impressionist art appreciation,Archaeological digs,1436
Pottery,Snowboarding,Opera,Mathematics competitions,1437
Sewing,Basketball,Stand-up comedy shows,Political science forums,1438
Knitting,Hip-hop dance,Impressionist art appreciation,Environmental sustainability workshops,1439
Meditation,Karate,Sculpture gardens,Cultural anthropology lectures,1440
Birdwatching,Mountain biking,Street art tours,Political science forums,1441
Playing chess,Kickboxing,Calligraphy classes,Medical ethics debates,1442
Stamp collecting,Soccer,Opera appreciation,Computer programming hackathons,1443
Sewing,Rock climbing,Film festivals,Genetics research,1444
Fishing,Cycling,Poetry slams,Genetics research,1445
Yoga,Soccer,Theater,Genetics research,1446
Sewing,Karate,Theater,Academic publishing,1447
Coin collecting,Mountain biking,Sculpture gardens,Astronomy clubs,1448
"Model building (e.g., airplanes, ships)",Ballet,Ballet,Physics lectures,1449
Baking,Skiing,Opera,Ethical debates,1450
Coin collecting,Archery,Theater,Cultural anthropology lectures,1451
Photography,Cycling,Art galleries,Economics forums,1452
Scrapbooking,Archery,Stand-up comedy shows,Academic publishing,1453
Writing,Karate,Film analysis clubs,Science fiction literature,1454
Scuba diving,Skateboarding,Renaissance art appreciation,Psychology seminars,1455
Scuba diving,Basketball,Impressionist art appreciation,Mathematics competitions,1456
Woodworking,Ballet,Sculpture gardens,Psychology seminars,1457
Cycling,Surfing,Renaissance art appreciation,Data analysis workshops,1458
Birdwatching,Rowing,Renaissance art appreciation,Bioinformatics symposiums,1459
Baking,Gymnastics,Ballet,Mathematics competitions,1460
Photography,Volleyball,Stand-up comedy shows,Data analysis workshops,1461
Fishing,Skateboarding,Baroque music appreciation,Scientific research,1462
Knitting,Soccer,Symphony orchestra performances,Robotics competitions,1463
Painting,Triathlons,Cultural festivals,Academic publishing,1464
Calligraphy,Skateboarding,Calligraphy classes,Literature appreciation groups,1465
Meditation,Cycling,Museums,Chemistry experiments,1466
Astronomy,Horseback riding,Cultural festivals,Philosophy discussions,1467
DIY projects,Karate,Indigenous art experiences,Data analysis workshops,1468
Scrapbooking,Skiing,Theater,Science fiction literature,1469
Birdwatching,Martial arts,Book clubs,Medical ethics debates,1470
Meditation,Snowboarding,Stand-up comedy shows,Data analysis workshops,1471
Reading,Hip-hop dance,Stand-up comedy shows,Linguistics workshops,1472
Scrapbooking,Karate,Music concerts,Climate change discussions,1473
Gardening,Karate,World music concerts,Archaeological digs,1474
Photography,Ultimate Frisbee,Renaissance art appreciation,Economics forums,1475
Ceramics,Snowboarding,Book clubs,Legal seminars,1476
Knitting,Gymnastics,Renaissance art appreciation,Literature appreciation groups,1477
Woodworking,Swimming,Photography exhibitions,Legal seminars,1478
DIY projects,Surfing,Film festivals,History lectures,1479
Cycling,Rock climbing,Pottery workshops,Science fiction literature,1480
Antiques collecting,Tennis,Book clubs,Political science forums,1481
DIY projects,Judo,Street art tours,Ethical debates,1482
Fishing,Running,Baroque music appreciation,Bioinformatics symposiums,1483
Playing chess,Swimming,Poetry readings,Political debates,1484
Coin collecting,Snowboarding,Art galleries,Climate change discussions,1485
DIY projects,Swimming,Sculpture gardens,Linguistic analysis,1486
Woodworking,Ballet,Music concerts,Medical ethics debates,1487
Antiques collecting,Sailing,Sculpture gardens,Linguistic analysis,1488
Hiking,Cycling,Music concerts,Robotics competitions,1489
Coin collecting,Sailing,Sculpture gardens,Data analysis workshops,1490
Coin collecting,Cycling,Opera,Linguistics workshops,1491
Ceramics,Rugby,Opera appreciation,Astronomy clubs,1492
Fishing,Ultimate Frisbee,Poetry slams,Linguistics workshops,1493
Scuba diving,Ballet,Ballet,Robotics competitions,1494
Pottery,Skiing,Renaissance art appreciation,Academic publishing,1495
Fishing,Gymnastics,Book clubs,Philosophy discussions,1496
Woodworking,Basketball,Cultural festivals,Psychology seminars,1497
Astronomy,Surfing,Sculpture gardens,Sociology conferences,1498
Ceramics,Mountain biking,Cultural festivals,Bioinformatics symposiums,1499
Reading,Skateboarding,Opera appreciation,Linguistic analysis,1500
Baking,Golf,Baroque music appreciation,Robotics competitions,1501
Meditation,Basketball,Impressionist art appreciation,History lectures,1502
Yoga,Mountain biking,Photography exhibitions,Cultural anthropology lectures,1503
Woodworking,Judo,Street art tours,Computer programming hackathons,1504
Calligraphy,Martial arts,Poetry slams,Philosophy discussions,1505
Cooking,Basketball,Music concerts,Physics lectures,1506
Cycling,Horseback riding,Stand-up comedy shows,Educational technology conferences,1507
Pottery,Karate,Cultural festivals,Political debates,1508
Meditation,Mountain biking,Theater,Political debates,1509
Woodworking,Judo,Film festivals,Academic publishing,1510
Camping,Archery,Street art tours,Climate change discussions,1511
Ceramics,Tennis,Film festivals,Political debates,1512
Scrapbooking,Cycling,Opera appreciation,Academic publishing,1513
Gardening,Triathlons,Film analysis clubs,Science fiction literature,1514
Woodworking,Skiing,Symphony orchestra performances,Bioinformatics symposiums,1515
Astronomy,Soccer,Classical music appreciation,Data analysis workshops,1516
Ceramics,Ultimate Frisbee,Book clubs,Science fiction literature,1517
Hiking,Archery,Music concerts,Ethical debates,1518
Baking,Ultimate Frisbee,Live storytelling events,Science fiction literature,1519
Fishing,Triathlons,Calligraphy classes,Legal seminars,1520
Writing,Tennis,Opera appreciation,Science fiction literature,1521
Cycling,Rowing,Cultural festivals,Ethical debates,1522
Sewing,Rowing,Jazz clubs,Philosophy discussions,1523
Ceramics,Running,Cultural festivals,Economics forums,1524
DIY projects,Snowboarding,Pottery workshops,Environmental sustainability workshops,1525
Astronomy,Volleyball,Opera,Ethical debates,1526
Fishing,Rowing,Museums,Medical ethics debates,1527
Playing guitar,Swimming,Theater,Bioinformatics symposiums,1528
Yoga,Fencing,Impressionist art appreciation,Cultural anthropology lectures,1529
Scuba diving,Skateboarding,Ballet,Medical ethics debates,1530
Hiking,Horseback riding,Museums,Cultural anthropology lectures,1531
Playing guitar,Archery,Ballet,Cultural anthropology lectures,1532
Coin collecting,Rock climbing,Film analysis clubs,Scientific research,1533
Gardening,Mountain biking,Street art tours,Legal seminars,1534
Antiques collecting,Sailing,Shakespearean plays,Science fiction literature,1535
Cooking,Volleyball,Ballet,Literature appreciation groups,1536
Woodworking,Triathlons,Renaissance art appreciation,Mathematics competitions,1537
Knitting,Snowboarding,Renaissance art appreciation,Physics lectures,1538
Playing guitar,Cycling,Stand-up comedy shows,Academic publishing,1539
Cycling,Ballet,Music concerts,Legal seminars,1540
Cooking,Running,Street art tours,Science fiction literature,1541
Baking,Surfing,Indigenous art experiences,Physics lectures,1542
Camping,Snowboarding,Baroque music appreciation,Robotics competitions,1543
Scuba diving,Triathlons,Calligraphy classes,Data analysis workshops,1544
Scrapbooking,Yoga,Classical music appreciation,Linguistic analysis,1545
Baking,Kickboxing,Art galleries,Academic publishing,1546
Woodworking,Running,Film analysis clubs,Academic publishing,1547
Scrapbooking,Cycling,Shakespearean plays,Science fiction literature,1548
Cycling,Tennis,Pottery workshops,Economics forums,1549
Pottery,Skateboarding,Renaissance art appreciation,Genetics research,1550
Woodworking,Tennis,Film analysis clubs,Chemistry experiments,1551
Writing,Gymnastics,Poetry readings,Ethical debates,1552
Painting,Horseback riding,Stand-up comedy shows,History lectures,1553
Knitting,Judo,Jazz clubs,Sociology conferences,1554
Fishing,Gymnastics,Poetry readings,Data analysis workshops,1555
Ceramics,Gymnastics,Symphony orchestra performances,Archaeological digs,1556
Baking,Running,Shakespearean plays,Sociology conferences,1557
Painting,Judo,Symphony orchestra performances,Climate change discussions,1558
Knitting,Rugby,Film analysis clubs,Cultural anthropology lectures,1559
Baking,Karate,Calligraphy classes,Ethical debates,1560
Scrapbooking,Archery,World music concerts,Educational technology conferences,1561
Playing chess,Rowing,Renaissance art appreciation,Political science forums,1562
Knitting,Gymnastics,Street art tours,Linguistic analysis,1563
Stamp collecting,Swimming,Sculpture gardens,Computer programming hackathons,1564
Writing,Judo,Baroque music appreciation,Science fiction literature,1565
Meditation,Martial arts,Theater workshops,Computer programming hackathons,1566
Knitting,Surfing,Calligraphy classes,Environmental sustainability workshops,1567
Painting,Rowing,Film analysis clubs,Political debates,1568
Antiques collecting,Soccer,Classical music appreciation,Archaeological digs,1569
Pottery,Basketball,Music concerts,Computer programming hackathons,1570
Reading,Gymnastics,Opera,Medical ethics debates,1571
Hiking,Snowboarding,Indigenous art experiences,Sociology conferences,1572
Fishing,Cycling,Sculpture gardens,Psychology seminars,1573
Scuba diving,Archery,Art galleries,Chemistry experiments,1574
Scuba diving,Horseback riding,Symphony orchestra performances,Astronomy clubs,1575
Playing chess,Skiing,Photography exhibitions,Political debates,1576
Knitting,Basketball,Film festivals,Climate change discussions,1577
"Model building (e.g., airplanes, ships)",Rugby,Opera appreciation,Archaeological digs,1578
Gardening,Fencing,Live storytelling events,Ethical debates,1579
Scuba diving,Yoga,Theater workshops,Data analysis workshops,1580
Meditation,Rowing,Impressionist art appreciation,Archaeological digs,1581
Stamp collecting,Triathlons,Book clubs,Political science forums,1582
Astronomy,Surfing,Opera,History lectures,1583
Camping,Fencing,Book clubs,Literature appreciation groups,1584
Gardening,Judo,Opera appreciation,Computer programming hackathons,1585
Reading,Golf,Live storytelling events,Political debates,1586
Knitting,Skiing,Cultural festivals,Bioinformatics symposiums,1587
Baking,Golf,Museums,History lectures,1588
DIY projects,Horseback riding,World music concerts,Environmental sustainability workshops,1589
Meditation,Mountain biking,World music concerts,Educational technology conferences,1590
Photography,Soccer,Symphony orchestra performances,Physics lectures,1591
Playing guitar,Golf,Photography exhibitions,Political debates,1592
Sewing,Surfing,Street art tours,Physics lectures,1593
Sewing,Cycling,Stand-up comedy shows,Philosophy discussions,1594
Painting,Ultimate Frisbee,Theater workshops,Philosophy discussions,1595
Hiking,Skiing,Classical music appreciation,History lectures,1596
Woodworking,Snowboarding,Theater,Psychology seminars,1597
Stamp collecting,Snowboarding,Shakespearean plays,Medical ethics debates,1598
Cooking,Kickboxing,Calligraphy classes,History lectures,1599
Stamp collecting,Kickboxing,Impressionist art appreciation,Medical ethics debates,1600
Astronomy,Judo,Poetry slams,Science fiction literature,1601
Cooking,Golf,World music concerts,Data analysis workshops,1602
Stamp collecting,Soccer,Renaissance art appreciation,Mathematics competitions,1603
Knitting,Mountain biking,Opera,Linguistic analysis,1604
Yoga,Tennis,Poetry slams,Astronomy clubs,1605
Woodworking,Sailing,Opera appreciation,Science fiction literature,1606
Sewing,Gymnastics,Photography exhibitions,Environmental sustainability workshops,1607
Photography,Sailing,Photography exhibitions,Sociology conferences,1608
Pottery,Golf,Opera appreciation,Ethical debates,1609
Knitting,Tennis,Music concerts,Philosophy discussions,1610
Woodworking,Judo,Theater workshops,History lectures,1611
Baking,Horseback riding,Poetry slams,Computer programming hackathons,1612
Woodworking,Rugby,Indigenous art experiences,Academic publishing,1613
Astronomy,Cycling,Music concerts,Political debates,1614
Woodworking,Running,Theater,Computer programming hackathons,1615
DIY projects,Rock climbing,World music concerts,Genetics research,1616
Fishing,Kickboxing,Opera,Economics forums,1617
Ceramics,Martial arts,Poetry slams,Linguistics workshops,1618
Writing,Martial arts,Baroque music appreciation,Literature appreciation groups,1619
Scrapbooking,Archery,Live storytelling events,Educational technology conferences,1620
Coin collecting,Skateboarding,Art galleries,Scientific research,1621
Cooking,Triathlons,World music concerts,Mathematics competitions,1622
Playing chess,Rugby,Film analysis clubs,Linguistic analysis,1623
Gardening,Basketball,World music concerts,Environmental sustainability workshops,1624
Gardening,Basketball,Classical music appreciation,Economics forums,1625
Painting,Skiing,Baroque music appreciation,Science fiction literature,1626
Ceramics,Hip-hop dance,Photography exhibitions,Literature appreciation groups,1627
Meditation,Ballet,Renaissance art appreciation,Linguistics workshops,1628
Astronomy,Ballet,Film festivals,Chemistry experiments,1629
Playing chess,Sailing,Renaissance art appreciation,Environmental sustainability workshops,1630
Painting,Sailing,Theater workshops,Science fiction literature,1631
Pottery,Triathlons,Ballet,Sociology conferences,1632
Baking,Martial arts,Street art tours,Scientific research,1633
Scuba diving,Kickboxing,Poetry readings,Robotics competitions,1634
Baking,Cycling,Jazz clubs,History lectures,1635
Antiques collecting,Soccer,Jazz clubs,Economics forums,1636
Ceramics,Volleyball,Impressionist art appreciation,Medical ethics debates,1637
Yoga,Rowing,Opera appreciation,Chemistry experiments,1638
"Model building (e.g., airplanes, ships)",Gymnastics,Book clubs,Psychology seminars,1639
Cooking,Gymnastics,Shakespearean plays,Literature appreciation groups,1640
Photography,Yoga,Impressionist art appreciation,Science fiction literature,1641
Sewing,Karate,Calligraphy classes,Chemistry experiments,1642
Sewing,Archery,Symphony orchestra performances,Environmental sustainability workshops,1643
Ceramics,Skiing,Impressionist art appreciation,Science fiction literature,1644
"Model building (e.g., airplanes, ships)",Snowboarding,Baroque music appreciation,Genetics research,1645
Meditation,Tennis,Jazz clubs,Climate change discussions,1646
Astronomy,Gymnastics,Shakespearean plays,Linguistic analysis,1647
Reading,Soccer,Opera appreciation,Educational technology conferences,1648
Birdwatching,Karate,Street art tours,Legal seminars,1649
Yoga,Rock climbing,Poetry slams,Political debates,1650
Birdwatching,Skiing,Cultural festivals,Cultural anthropology lectures,1651
Stamp collecting,Ultimate Frisbee,Baroque music appreciation,Environmental sustainability workshops,1652
Scuba diving,Soccer,Jazz clubs,Computer programming hackathons,1653
Playing guitar,Basketball,Live storytelling events,Scientific research,1654
Playing chess,Ballet,Photography exhibitions,Sociology conferences,1655
Antiques collecting,Volleyball,Impressionist art appreciation,Bioinformatics symposiums,1656
Fishing,Snowboarding,Calligraphy classes,Data analysis workshops,1657
Writing,Snowboarding,Museums,Bioinformatics symposiums,1658
"Model building (e.g., airplanes, ships)",Rugby,Cultural festivals,Environmental sustainability workshops,1659
Calligraphy,Martial arts,Stand-up comedy shows,Literature appreciation groups,1660
"Model building (e.g., airplanes, ships)",Skiing,Renaissance art appreciation,Cultural anthropology lectures,1661
Fishing,Skateboarding,Theater,Medical ethics debates,1662
"Model building (e.g., airplanes, ships)",Rugby,Indigenous art experiences,Educational technology conferences,1663
Gardening,Skiing,Shakespearean plays,Medical ethics debates,1664
Painting,Ballet,Photography exhibitions,Legal seminars,1665
Sewing,Mountain biking,Live storytelling events,Environmental sustainability workshops,1666
Knitting,Rock climbing,Baroque music appreciation,Psychology seminars,1667
Sewing,Fencing,Street art tours,Environmental sustainability workshops,1668
Astronomy,Ballet,Symphony orchestra performances,History lectures,1669
Birdwatching,Mountain biking,Opera,Physics lectures,1670
Gardening,Surfing,Museums,Archaeological digs,1671
Sewing,Swimming,Ballet,Mathematics competitions,1672
Baking,Triathlons,Cultural festivals,Psychology seminars,1673
DIY projects,Tennis,Indigenous art experiences,Legal seminars,1674
Sewing,Skateboarding,Theater workshops,Medical ethics debates,1675
Cooking,Martial arts,Art galleries,Astronomy clubs,1676
Stamp collecting,Volleyball,Opera,Mathematics competitions,1677
Playing chess,Fencing,Ballet,History lectures,1678
Ceramics,Triathlons,Photography exhibitions,Astronomy clubs,1679
Playing chess,Ballet,Film festivals,Chemistry experiments,1680
Cooking,Hip-hop dance,Cultural festivals,Educational technology conferences,1681
Camping,Cycling,Renaissance art appreciation,Political science forums,1682
Painting,Hip-hop dance,Film festivals,Economics forums,1683
Birdwatching,Soccer,Stand-up comedy shows,Linguistic analysis,1684
Cooking,Mountain biking,Symphony orchestra performances,Chemistry experiments,1685
Yoga,Yoga,Book clubs,Economics forums,1686
"Model building (e.g., airplanes, ships)",Hip-hop dance,Opera appreciation,Philosophy discussions,1687
Camping,Hip-hop dance,Live storytelling events,Sociology conferences,1688
Writing,Soccer,Pottery workshops,Sociology conferences,1689
Knitting,Ballet,Classical music appreciation,Mathematics competitions,1690
Baking,Basketball,Theater,Philosophy discussions,1691
DIY projects,Horseback riding,Book clubs,History lectures,1692
Scrapbooking,Karate,Street art tours,Bioinformatics symposiums,1693
DIY projects,Horseback riding,Renaissance art appreciation,Political debates,1694
Playing guitar,Fencing,Theater,Linguistics workshops,1695
Woodworking,Surfing,Book clubs,Climate change discussions,1696
"Model building (e.g., airplanes, ships)",Rugby,Book clubs,Science fiction literature,1697
Fishing,Judo,Photography exhibitions,Cultural anthropology lectures,1698
DIY projects,Hip-hop dance,Book clubs,Literature appreciation groups,1699
Woodworking,Hip-hop dance,Book clubs,Psychology seminars,1700
Scrapbooking,Fencing,Theater workshops,Chemistry experiments,1701
Antiques collecting,Horseback riding,Renaissance art appreciation,Computer programming hackathons,1702
"Model building (e.g., airplanes, ships)",Martial arts,Baroque music appreciation,Climate change discussions,1703
Reading,Rowing,Cultural festivals,Climate change discussions,1704
"Model building (e.g., airplanes, ships)",Skiing,Art galleries,Educational technology conferences,1705
Calligraphy,Basketball,Indigenous art experiences,Computer programming hackathons,1706
Pottery,Archery,Opera appreciation,Chemistry experiments,1707
Scrapbooking,Snowboarding,Baroque music appreciation,Robotics competitions,1708
Knitting,Rock climbing,Museums,Cultural anthropology lectures,1709
Writing,Soccer,Theater,Political science forums,1710
Cycling,Skateboarding,Renaissance art appreciation,Economics forums,1711
Gardening,Rock climbing,Film festivals,History lectures,1712
Photography,Rock climbing,Classical music appreciation,Chemistry experiments,1713
Gardening,Volleyball,Calligraphy classes,Sociology conferences,1714
Scuba diving,Basketball,Theater,Physics lectures,1715
Antiques collecting,Archery,Baroque music appreciation,Science fiction literature,1716
"Model building (e.g., airplanes, ships)",Skiing,Classical music appreciation,Mathematics competitions,1717
Sewing,Surfing,Book clubs,Legal seminars,1718
Photography,Basketball,Cultural festivals,Political debates,1719
Astronomy,Fencing,Impressionist art appreciation,Linguistic analysis,1720
Ceramics,Ultimate Frisbee,Impressionist art appreciation,Sociology conferences,1721
DIY projects,Surfing,Live storytelling events,Cultural anthropology lectures,1722
Ceramics,Skateboarding,Music concerts,Sociology conferences,1723
Playing chess,Karate,Ballet,Scientific research,1724
Astronomy,Sailing,Theater workshops,Medical ethics debates,1725
Scuba diving,Cycling,World music concerts,Computer programming hackathons,1726
Playing guitar,Mountain biking,Indigenous art experiences,Bioinformatics symposiums,1727
Playing chess,Triathlons,World music concerts,Physics lectures,1728
Playing guitar,Skiing,Film festivals,Educational technology conferences,1729
Astronomy,Martial arts,Symphony orchestra performances,Archaeological digs,1730
Coin collecting,Snowboarding,Theater,Literature appreciation groups,1731
Antiques collecting,Kickboxing,Sculpture gardens,Computer programming hackathons,1732
Gardening,Judo,Museums,Bioinformatics symposiums,1733
Photography,Basketball,World music concerts,Psychology seminars,1734
Scrapbooking,Rock climbing,Poetry readings,Literature appreciation groups,1735
Yoga,Horseback riding,Music concerts,Science fiction literature,1736
Ceramics,Kickboxing,Film festivals,Psychology seminars,1737
Coin collecting,Yoga,Cultural festivals,Legal seminars,1738
Sewing,Yoga,Film analysis clubs,Computer programming hackathons,1739
Yoga,Volleyball,Impressionist art appreciation,Environmental sustainability workshops,1740
Knitting,Hip-hop dance,Poetry readings,Medical ethics debates,1741
Coin collecting,Volleyball,Art galleries,Linguistic analysis,1742
Yoga,Rugby,Symphony orchestra performances,Astronomy clubs,1743
Yoga,Fencing,Theater,Political debates,1744
Yoga,Golf,Sculpture gardens,Linguistic analysis,1745
Meditation,Triathlons,Sculpture gardens,Linguistic analysis,1746
Meditation,Snowboarding,Poetry slams,Scientific research,1747
Woodworking,Ultimate Frisbee,Film festivals,Data analysis workshops,1748
Coin collecting,Golf,Impressionist art appreciation,Environmental sustainability workshops,1749
Hiking,Gymnastics,Film festivals,Political science forums,1750
Baking,Fencing,Stand-up comedy shows,Legal seminars,1751
DIY projects,Martial arts,Photography exhibitions,Ethical debates,1752
Scuba diving,Fencing,Poetry readings,Medical ethics debates,1753
Painting,Rowing,Poetry readings,History lectures,1754
Astronomy,Kickboxing,Film festivals,Chemistry experiments,1755
Fishing,Basketball,Shakespearean plays,Astronomy clubs,1756
Coin collecting,Rock climbing,Art galleries,Economics forums,1757
Scuba diving,Rugby,Symphony orchestra performances,Academic publishing,1758
Writing,Hip-hop dance,Baroque music appreciation,Astronomy clubs,1759
"Model building (e.g., airplanes, ships)",Surfing,Impressionist art appreciation,Psychology seminars,1760
Ceramics,Horseback riding,Baroque music appreciation,Climate change discussions,1761
Playing chess,Yoga,Symphony orchestra performances,Data analysis workshops,1762
Antiques collecting,Golf,Symphony orchestra performances,History lectures,1763
Yoga,Rock climbing,Calligraphy classes,Cultural anthropology lectures,1764
Scrapbooking,Ultimate Frisbee,Music concerts,Chemistry experiments,1765
Sewing,Ultimate Frisbee,Sculpture gardens,Literature appreciation groups,1766
Scrapbooking,Horseback riding,Photography exhibitions,Linguistic analysis,1767
Painting,Rock climbing,Poetry slams,Bioinformatics symposiums,1768
Camping,Volleyball,Sculpture gardens,Archaeological digs,1769
Gardening,Swimming,Photography exhibitions,Astronomy clubs,1770
Playing guitar,Rowing,Opera,Robotics competitions,1771
Gardening,Soccer,Sculpture gardens,Political debates,1772
Painting,Rowing,Stand-up comedy shows,Scientific research,1773
Sewing,Hip-hop dance,World music concerts,Scientific research,1774
Camping,Ballet,World music concerts,Educational technology conferences,1775
Scrapbooking,Running,Impressionist art appreciation,Political science forums,1776
Birdwatching,Kickboxing,Indigenous art experiences,Philosophy discussions,1777
Camping,Kickboxing,Baroque music appreciation,Environmental sustainability workshops,1778
Ceramics,Gymnastics,Art galleries,Science fiction literature,1779
Painting,Gymnastics,Classical music appreciation,Linguistics workshops,1780
Pottery,Martial arts,Shakespearean plays,Philosophy discussions,1781
Knitting,Running,Indigenous art experiences,Political debates,1782
DIY projects,Sailing,Impressionist art appreciation,Literature appreciation groups,1783
Knitting,Mountain biking,Renaissance art appreciation,Physics lectures,1784
Coin collecting,Rugby,Indigenous art experiences,Linguistics workshops,1785
Playing guitar,Tennis,Ballet,Environmental sustainability workshops,1786
Camping,Volleyball,Renaissance art appreciation,Environmental sustainability workshops,1787
Coin collecting,Karate,Renaissance art appreciation,Literature appreciation groups,1788
Meditation,Yoga,Art galleries,Scientific research,1789
Woodworking,Archery,Jazz clubs,Educational technology conferences,1790
Stamp collecting,Judo,Live storytelling events,Mathematics competitions,1791
Writing,Rock climbing,Calligraphy classes,Medical ethics debates,1792
Cooking,Tennis,Calligraphy classes,Academic publishing,1793
Photography,Fencing,Poetry slams,Mathematics competitions,1794
Scrapbooking,Basketball,Calligraphy classes,Ethical debates,1795
Antiques collecting,Ultimate Frisbee,Book clubs,Genetics research,1796
Ceramics,Ballet,Impressionist art appreciation,Medical ethics debates,1797
Woodworking,Ultimate Frisbee,Shakespearean plays,Scientific research,1798
Camping,Running,Film analysis clubs,Cultural anthropology lectures,1799
Writing,Karate,Poetry readings,Scientific research,1800
Fishing,Mountain biking,Pottery workshops,Scientific research,1801
Camping,Triathlons,Ballet,Economics forums,1802
Yoga,Swimming,Cultural festivals,Medical ethics debates,1803
Cooking,Rock climbing,Ballet,Data analysis workshops,1804
Yoga,Skateboarding,Shakespearean plays,Literature appreciation groups,1805
Fishing,Fencing,Theater,Medical ethics debates,1806
Stamp collecting,Hip-hop dance,World music concerts,Legal seminars,1807
DIY projects,Skateboarding,Pottery workshops,Archaeological digs,1808
Painting,Tennis,Film festivals,Archaeological digs,1809
Knitting,Cycling,Art galleries,History lectures,1810
Playing chess,Karate,Cultural festivals,Linguistic analysis,1811
Baking,Cycling,Film analysis clubs,Linguistics workshops,1812
Stamp collecting,Kickboxing,Art galleries,Astronomy clubs,1813
Painting,Yoga,Theater workshops,Sociology conferences,1814
Coin collecting,Hip-hop dance,Baroque music appreciation,Economics forums,1815
Meditation,Fencing,Theater workshops,Academic publishing,1816
Playing guitar,Archery,Theater workshops,Genetics research,1817
Knitting,Golf,Book clubs,Environmental sustainability workshops,1818
Cycling,Golf,Baroque music appreciation,Philosophy discussions,1819
Yoga,Sailing,Pottery workshops,Linguistics workshops,1820
Woodworking,Kickboxing,Classical music appreciation,Astronomy clubs,1821
Knitting,Archery,Pottery workshops,Data analysis workshops,1822
DIY projects,Ballet,Pottery workshops,Robotics competitions,1823
Writing,Gymnastics,Impressionist art appreciation,Medical ethics debates,1824
Coin collecting,Running,Poetry readings,Bioinformatics symposiums,1825
Ceramics,Cycling,World music concerts,Philosophy discussions,1826
Antiques collecting,Cycling,Poetry slams,History lectures,1827
Birdwatching,Triathlons,Jazz clubs,Environmental sustainability workshops,1828
Hiking,Gymnastics,Film festivals,Archaeological digs,1829
Cycling,Rugby,Photography exhibitions,Genetics research,1830
Yoga,Hip-hop dance,Street art tours,Medical ethics debates,1831
Baking,Tennis,Opera appreciation,Literature appreciation groups,1832
Calligraphy,Ballet,Classical music appreciation,History lectures,1833
Writing,Skateboarding,Impressionist art appreciation,Medical ethics debates,1834
Camping,Rock climbing,Opera,Environmental sustainability workshops,1835
Yoga,Surfing,Impressionist art appreciation,Genetics research,1836
Woodworking,Basketball,Theater workshops,Literature appreciation groups,1837
Woodworking,Martial arts,Calligraphy classes,Literature appreciation groups,1838
Astronomy,Rock climbing,Pottery workshops,Science fiction literature,1839
Baking,Archery,Ballet,Medical ethics debates,1840
Writing,Archery,Calligraphy classes,Climate change discussions,1841
Gardening,Skateboarding,Classical music appreciation,Chemistry experiments,1842
Coin collecting,Mountain biking,Film analysis clubs,Cultural anthropology lectures,1843
Astronomy,Skateboarding,Theater workshops,Ethical debates,1844
Playing chess,Rugby,Symphony orchestra performances,Academic publishing,1845
Baking,Horseback riding,Theater workshops,Scientific research,1846
Scrapbooking,Karate,Sculpture gardens,Robotics competitions,1847
Fishing,Kickboxing,Poetry readings,Robotics competitions,1848
